classification,realized_trades,active_accounts,traded_coins,total_realized_pnl,total_net_after_fee,total_fees,win_rate,loss_rate,avg_pnl,median_pnl,avg_net_pnl,avg_size_usd,median_size_usd,avg_gross_roi_bps,avg_net_roi_bps
Extreme Fear,10406,30,64,739110.24849,726880.007181,12230.241309000001,0.7621564482029598,0.23784355179704017,71.02731582644628,6.38805,69.85200914674226,5467.570418989045,836.9,88.87034347863386,86.63103983104376
Fear,29808,32,100,3357155.441642,3310156.225802,46999.21584,0.8728864734299517,0.12711352657004832,112.62598770940687,6.3504830000000005,111.04925609910092,8041.140445182501,749.885,319.6653928079783,317.46052759552856
Neutral,18159,29,125,1292920.67555,1270657.986599,22262.688951,0.8238889806707418,0.1761110193292582,71.19999314664905,4.583458,69.9740066412798,5556.444833415937,556.8,206.2013961152537,203.75587667179343
Greed,25176,31,153,2150129.272951,2120451.585929,29677.687022,0.7689068954559898,0.23109310454401016,85.40392727005879,4.9276,84.2251186022005,5438.671763981571,554.99,392.5311363433127,390.4427019787072
Extreme Greed,20853,28,157,2715171.310673,2701505.448121,13665.862552,0.8916702632714717,0.10832973672852828,130.20530910051312,8.53074,129.54996634158155,2779.563632091306,436.23,767.4144550347575,765.3189612835034
