trade_date,value,realized_trades,total_net,total_volume,win_rate,active_accounts
2024-03-18,77.0,6,1446.3149349999999,31457.649999999998,1.0,2
2024-03-19,79.0,7,656.711288,99900.65999999999,0.7142857142857143,2
2024-03-20,74.0,60,6397.943599,115955.46,1.0,2
2024-03-21,78.0,23,2329.0749,53146.26,1.0,2
2024-03-24,74.0,15,1292.636322,45647.57,1.0,1
2024-03-25,75.0,6,1283.975664,54116.47,1.0,1
2024-03-26,81.0,110,3202.2877989999997,94867.11,1.0,2
2024-03-27,83.0,19,137.16864099999998,42470.81,0.631578947368421,2
2024-03-28,80.0,9,226.54244699999998,7540.98,1.0,1
2024-03-29,79.0,6,864.227888,53912.9,1.0,1
2024-03-30,75.0,44,1095.435845,51102.26,1.0,1
2024-03-31,75.0,10,901.966189,30914.19,1.0,1
2024-04-01,79.0,43,2474.959004,121978.45,0.9767441860465116,2
2024-04-02,79.0,12,836.624878,134674.12,1.0,1
2024-04-03,71.0,1,126.451696,3507.35,1.0,1
2024-04-05,79.0,90,10623.75334,335794.58999999997,1.0,3
2024-04-06,75.0,4,229.953195,18234.120000000003,1.0,1
2024-04-08,76.0,1,1216.14402,23777.92,1.0,1
2024-04-10,78.0,36,5092.73526,327737.64999999997,1.0,1
2024-04-11,76.0,2,381.20539,24393.64,1.0,1
2024-04-12,79.0,101,-625.277079,162372.44,0.7029702970297029,2
2024-04-13,72.0,61,6583.532200000001,165060.81,1.0,1
2024-04-14,72.0,74,-36224.716337000005,368513.22,0.44594594594594594,2
2024-04-15,74.0,35,3762.462967,121097.51,1.0,1
2024-04-16,65.0,43,2458.47872,90135.48,1.0,1
2024-04-17,67.0,13,2435.6476500000003,47560.770000000004,1.0,1
2024-04-19,66.0,27,1841.0061930000002,301255.07,1.0,1
2024-04-23,71.0,35,1073.1235379999998,148340.09,1.0,2
2024-04-24,72.0,7,262.28954400000003,48275.33,0.8571428571428571,1
2024-04-27,67.0,19,4233.796515,136261.81,1.0,1
2024-04-29,67.0,17,506.11886499999997,59471.380000000005,1.0,1
2024-05-03,48.0,19,5219.379262,247543.41999999998,0.8947368421052632,2
2024-05-05,69.0,1,0.902328,40.69,1.0,1
2024-05-06,71.0,4,921.6839620000001,134018.34,1.0,1
2024-05-07,68.0,9,859.852203,67672.83,1.0,2
2024-05-08,64.0,2,1.5356790000000005,89.53,0.5,1
2024-05-09,55.0,11,1100.001534,135983.79,1.0,1
2024-05-10,66.0,6,2080.42884,60893.869999999995,1.0,1
2024-05-11,53.0,9,229.46761700000002,63248.95,1.0,1
2024-05-13,57.0,10,2106.702628,86146.39,1.0,1
2024-05-14,66.0,4,1128.878526,61842.23,1.0,1
2024-05-15,64.0,17,898.249834,144916.45,1.0,1
2024-05-16,70.0,5,192.615701,62783.14,1.0,1
