classification,trades,active_accounts,traded_coins,total_volume_usd,avg_trade_size_usd,total_closed_pnl,total_fees,total_net_after_fee,realized_trades
Extreme Fear,21400,32,85,114484261.44,5349.7318429906545,739110.24849,23888.6339393869,715221.6145506131,10406
Fear,61837,32,134,483324789.79,7816.109930785776,3357155.441642,92456.9486741548,3264698.4929678454,29808
Neutral,37686,31,147,180242063.08,4782.732661465797,1292920.67555,39374.2683038708,1253546.4072461291,18159
Greed,50303,31,193,288582494.72,5736.884375086974,2150129.272951,63098.6919791683,2087030.5809718317,25176
Extreme Greed,39992,30,165,124465164.57,3112.2515645629123,2715171.310673,27030.66546515,2688140.64520785,20853
