bucket,realized_trades,total_realized_pnl,total_net_after_fee,win_rate,avg_pnl,median_pnl,avg_net_roi_bps,avg_size_usd
Fear-side,40214,4096265.690132,4037036.232983,0.8442333515691053,101.86168225324514,6.356002,257.7297957688705,7375.189042870643
Neutral,18159,1292920.67555,1270657.986599,0.8238889806707418,71.19999314664905,4.583458,203.75587667179343,5556.444833415937
Greed-side,46029,4865300.583624,4821957.03405,0.8245236698603055,105.70076655204328,6.486417,560.2768203667434,4233.988154207131
